회사명,주소,기업규모
드림에이지이 주식회사,서울특별시 금천구 디지털로 173 701호 702호 (가산동 엘리시아),중소기업
(주)유피정보통신,대전광역시 대덕구 송촌로 94-5 1층 (송촌동),중소기업
(주)코딩앤플레이,서울특별시 강남구 강남대로156길 12 3층(신사동 다복빌딩),중소기업
(주)어반포레스트,경기도 안양시 동안구 벌말로 66 10층 에이-에프 1006호 (관양동 평촌역 하이필드),중소기업
오로라 트레이딩,경기도 시흥시 진말로 46 107동 903호 (장곡동 진말 삼환.한진아파트),중소기업
주식회사 동명전력,경남 김해시 금관대로1041번길 49 (풍유동),중소기업
주식회사 투게더스,인천광역시 부평구 부평대로 301 901호 (청천동 남광센트렉스),중소기업
선진시스템(주),전라남도 광양시 도촌길 31(광영동),중소기업
(주) 투더베스트,서울특별시 강동구 올림픽로 659 1327호 (천호동),중소기업
(주)파워엔지니어링,경기도 성남시 중원구 둔촌대로 555 401호 (상대원동 선일테크노피아),중소기업
주식회사 미디어맥스,전라북도 전주시 덕진구 만성북로 21-26 전북콘텐츠기업육성센터 306호(만성동),중소기업
주식회사 잉크와오피스,서울특별시 성동구 성수이로10길 14 11층 1106-1108호(성수동2가 에이스 하이앤드 성수타워),중소기업
주식회사 에이치웍스,부산광역시 강서구 미음산단2로16번길 12 본관 4층 (구랑동),중소기업
삼화디에스피 주식회사,경기도 군포시 엘에스로91번길 69 3층 (금정동),중소기업
주식회사 아스팔트아트,서울특별시 강남구 테헤란로 425 5570호 (삼성동 신일빌딩),중소기업
(주)제로엔,서울특별시 금천구 범안로 1126 11층 1105호 (가산동 대륭테크노타운21차),중소기업
올거나이즈코리아 주식회사,서울특별시 강남구 도곡로3길 27 12층 (역삼동 동일빌딩),중소기업
(주)케이피코어스,서울특별시 영등포구 63로 40 808호 (여의도동 라이프오피스텔),중소기업
주식회사 다룸씨엔씨,경기도 안양시 동안구 관악대로374번길 12 302호 (관양동),중소기업
오성씨앤아이 주식회사,충청북도 청주시 흥덕구 무심서로 639 2층 (운천동),중소기업
에스엠피글로벌 주식회사,서울특별시 마포구 잔다리로 48 3층 에이378호 (서교동 정원빌딩),중소기업
주식회사 시소,서울특별시 강서구 마곡중앙6로 42 6층 621호 (마곡동 사이언스타),중소기업
(주)에스온씨,경기도 평택시 중앙로 176 228호(합정동 평택합정에스케이뷰주상복합2),중소기업
다섯달란트,인천광역시 부평구 부평대로 114 108호 (부평동 부평타워큐아파트),중소기업
(주)아하오호스튜디오,경기도 김포시 대곶면 오니산로 168 가동,중소기업
한시간컴(주),서울특별시 강남구 논현로85길 22 (역삼동 동경빌딩 3층),중소기업
주식회사 디와이지오텍,서울특별시 강서구 마곡중앙6로 11 9층 919호 (마곡동),중소기업
(주)비와이엔디,경기도 용인시 수지구 성복2로 184 성동마을 수지자이 2차 206동 402호 (성복동 성동마을 수지자이2차),중소기업
(주)뮤즈넷,경기 안양시 동안구 시민대로1711404 (비산동 금강벤처텔),중소기업
아온,경기도 과천시 광창2로 5-1 1층 (과천동),중소기업
제이비(JAYB),대전광역시 유성구 테크노1로 12-22 A동 949호 (관평동 디티비안),중소기업
주식회사 일점사소프트,대구광역시 남구 명덕로 104 3층 312호 전문관 (대명동 계명대학교),중소기업
주식회사 엠시스아이씨티,경기도 화성시 효행로 1051 5층 506-1호 (진안동 메인프라자),중소기업
주식회사 가교오씨아이,경기도 파주시 금바위로 42 9층 906호 (와동동 운정법조타운),중소기업
(주)인투월드 테크놀러지,경기도 성남시 분당구 대왕판교로645번길 12 4층융합보안지원센터 C05 (삼평동 경기창조경제혁신센터),중소기업
(주)드림한스,서울특별시 구로구 디지털로 272 한신아이티타워 612~613호 (구로동),중소기업
주식회사 위드플러스,경기도 양주시 남면 화합로430번길 229-39 가동나동,중소기업
(주)유니팍,서울특별시 강남구 테헤란로 313 1208호 (역삼동 성지하이츠 1차),중소기업
주식회사 아이더스(AIDUS Co.Ltd.),서울특별시 용산구 회나무로12길 27 B2층 1호 (이태원동 서울디지텍고등학교),중소기업
주식회사 다온하이텍,서울특별시 노원구 동일로173가길 14(공릉동 지하1층),중소기업
대보사,대구광역시 중구 명륜로 44-4 (남산동),중소기업
비움소프트 주식회사,서울특별시 종로구 이화장길 40 3층(이화동 율원빌딩),중소기업
주식회사 머스트게임즈,경기도 안양시 만안구 안양로 111 13층 1301 1302호(안양동 경기벤처연성대학교센터),중소기업
대한아이앤 주식회사,경기도 안양시 동안구 시민대로 317(관양동 대한스마트타워),중소기업
주식회사 아이엠피티티,서울특별시 영등포구 여의대방로69길 23 10층(여의도동 한국금융아이티빌딩),중소기업
(주)엔터핀,서울특별시 강남구 봉은사로26길 22-9 1층 (역삼동),중소기업
효원테크,경상남도 창원시 성산구 중앙대로 37 2층 216호 (중앙동 경남오피스텔),중소기업
동남도서주식회사,서울특별시 금천구 가산디지털1로 145 B302 (가산동),중소기업
(주)피엘시스템,부산광역시 해운대구 센텀중앙로 90 301(재송동본동1108호),중소기업
(주)팁스커뮤니케이션즈,서울특별시 용산구 서빙고로24길 6 1층 (한강로3가),중소기업
주식회사 그룹아이디디,서울특별시 강남구 언주로 637 9층 10층 11층 (논현동 싸이칸홀딩스타워),중소기업
주식회사 라온피앤씨,경상북도 안동시 서후면 서선길 189 4층 1407호(안동과학대학교 창업보육센터),중소기업
주식회사 초록물고기,제주특별자치도 제주시 애월읍 중산간서로 6703-10 102동 101호 (드림캐슬),중소기업
주식회사 엘바텤,서울특별시 강서구 마곡중앙2로 35 813호 (마곡동 이너매스마곡2),중소기업
주식회사 비틀,부산광역시 기장군 기장읍 청강로85번길 104 2층,중소기업
주식회사 티원시스,서울특별시 강서구 양천로 401 에이동 6층 601호 (가양동 강서한강자이타워),중소기업
주식회사 디에이치,경상남도 진주시 솔밭로43번길 23 1층(상평동),중소기업
주식회사 디메이커,서울특별시 구로구 디지털로31길 38-9 202호 (구로동에이스테크노타워 1차),중소기업
주식회사 베스트원솔루션,서울특별시 서초구 사임당로 175 9층 901호 (서초동 갤럭시타워),중소기업
(주)가인전력,인천광역시 연수구 송도미래로 30 B동 415호 (송도동 송도BRC스마트밸리지식산업센터),중소기업
주식회사 티디엘,광주광역시 북구 첨단벤처소로37번길 51 (월출동),중소기업
(주)누보원,서울특별시 서초구 동작대로 230 2동(방배동 화련회관),중소기업
(주)쇼미미디어앤트레이딩,서울특별시 영등포구 도림로 433-2 1층 (문래동2가),중소기업
지오랜드,충청남도 청양군 청양읍 중앙로12길 3,중소기업
주식회사 월메이드,서울특별시 서대문구 가재울로 86 2층 (남가좌동),중소기업
(주)샤콘느,부산광역시 해운대구 우동1로38번가길 15 1층 (우동),중소기업
(주)뉴피컴퍼니,서울특별시 마포구 양화로11길 68 5층 (서교동),중소기업
다원마이크로 (주),경기도 수원시 영통구 덕영대로1556번길 16 4층 에이404호(영통동 영통디지털엠파이어),중소기업
사이언스 이미지,대전광역시 유성구 대덕대로 530 2층 다열212호(도룡동 첨단유통상가),중소기업
대경테크시스,서울특별시 양천구 등촌로 220 3층 312호 (목동 정원오피스타운),중소기업
코나아이(주),서울 영등포구 은행로3 (여의도동 익스콘벤처타워 8층),대기업
주식회사 써멀컬처컴퍼니,서울특별시 마포구 월드컵로 163-3 1층 일부(망원동),중소기업
(주)호텔롯데롯데월드,서울특별시 송파구 올림픽로 240 (잠실동),대기업
뉴로랩스,서울특별시 구로구 부일로9길 127 114동 3층 304호 (온수동 온수 힐스테이트),중소기업
티엔엠디자인(디자인쏘다),대구광역시 남구 성당로 88 (대명동 2층),중소기업
최초로소프트(주),서울특별시 중구 명동길 58 3층 최초로소프트(주) (명동2가 한송빌딩),중소기업
주식회사 김영소프트,경기도 파주시 문발로 197 1층 (문발동 문발동),중소기업
주식회사콤즈,서울특별시 마포구 매봉산로 37 4층 6호(상암동 DMC 산학협력연구센터),중소기업
주식회사 케이엘피비젼,서울특별시 용산구 청파로 213(문배동이안용산프리미어103호),중소기업
크리에이티브앤디지털 주식회사,서울특별시 강남구 역삼로 215 2층 (역삼동),중소기업
(주) 제이투엠테크놀로지,서울특별시 송파구 송파대로28길 13 303-2호 (가락동 거북이빌딩),중소기업
주식회사 스토리파크,경상북도 안동시 풍천면 지풍로 1494 주식회사 스토리파크,중소기업
주식회사 웨이플러스,제주특별자치도 제주시 첨단로3길 10 (영평동),중소기업
(주)이룸에스앤앤,서울특별시 구로구 디지털로33길 12우림이비지2차 804호,중소기업
주식회사 넥스트지,서울특별시 종로구 삼봉로 81 216호 (수송동 두산위브파빌리온),중소기업
(주)큰물고기미디어,경기도 파주시 송학1길 158-26 외1필지(야당동),중소기업
(주)태그프리,서울특별시 영등포구 양산로 43 1206호 (양평동3가 우림이비지센타),중소기업
(주)정진,경상남도 창원시 성산구 정동로62번길 30 (성주동),중소기업
(주)지오아이티,대전광역시 유성구 대덕대로512번길 20 404호CT센터 (도룡동대전정보문화산업진흥원),중소기업
에프원드론요트,전라남도 해남군 삼산면 상가길 46-6 에프원드론요트,중소기업
주식회사 아이워드솔루션,서울특별시 성북구 화랑로 211 209호 (장위동 성북벤처창업지원센터),중소기업
주식회사 썬라이트,전라남도 장성군 동화면 전자농공단지2길 74 제1동 1층,중소기업
디노믹스,서울특별시 마포구 독막로6길 9 2층 2525호 (합정동),중소기업
아크시스 주식회사,부산광역시 남구 신선로 365 3공학관 103-2호 (용당동 부경대학교 용당캠퍼스),중소기업
둔소프트,대전광역시 서구 문예로 11 (탄방동 3층),중소기업
주식회사 나인티시스템,서울특별시 구로구 디지털로 271 7층 709호 (구로동 벽산디지털밸리III),중소기업
(주)디오시스템,광주광역시 광산구 하남산단9번로 113 2층 (안청동),중소기업
계원예술대학교산학협력단,경기도 의왕시 계원대학로 66 (내손동 계원예술대학교내),중소기업
주식회사 톡솔루션,서울특별시 동대문구 장한로 85 101동 12층 1223호 (장안동 장안현대벤처빌),중소기업
플레이백(PLAY100),서울특별시 강서구 마곡중앙6로 11 1012호 (마곡동 보타닉파크타워3),중소기업
조이큐브,전라북도 전주시 덕진구 반룡로 85 (팔복동2가),중소기업
(주)한국혁신연구원,서울특별시 강남구 광평로 295 동관 1405호 (수서동 사이룩스오피스텔),중소기업
주식회사 유비코아이티,서울특별시 서초구 효령로 46 402호 (방배동 대진빌딩),중소기업
주식회사 리얼위드,경기도 수원시 영통구 광교로 107 603호 (이의동경기도중소기업지원센터),중소기업
주식회사 핏투게더,서울특별시 용산구 한강대로 95 302호 (한강로2가 래미안용산 더 센트럴),중소기업
(주)엔틱스,전라북도 전주시 덕진구 가리내로 52 3층 (금암동 한국노총회관),중소기업
(주)데이타월,서울특별시 강서구 등촌로51길 9 3층 (등촌동),중소기업
주식회사 피플맥(People Mac.inc),대전광역시 중구 인창로 13-1 202호 (대흥동),중소기업
주식회사 창검,경상남도 사천시 용현면 선진공원길 102 206호 (산학협동연구단지),중소기업
금산이씨엠에스 주식회사,서울특별시 동작구 등용로4길 148 (노량진동),중소기업
주식회사 엠아이테크,울산광역시 남구 테크노산업로29번길 39 A동 엠아이테크 (두왕동),중소기업
주식회사 에이티지,부산광역시 해운대구 센텀서로 39 1004호 (우동 영상산업센터),중소기업
(주)도픽스,서울특별시 강서구 공항대로 200 11층 1121호 (마곡동 마곡지웰타워),중소기업
(주)밸류어블디자인랩,서울특별시 송파구 올림픽로35가길 10 에이동 306호 (신천동 잠실 더샵스타파크),중소기업
주식회사 지앤아이시스템즈,대구광역시 북구 경대로17길 47 510호 (복현동 경북대학교내 IT융합산업빌딩),중소기업
(주)에스아이케이알,서울특별시 중구 퇴계로36가길 10 301호 (필동2가 세정아이티빌딩),중소기업
(주)큐알미,서울특별시 성동구 성수일로 89 507호 (성수동1가 Metamorpho(지식산업센터)),중소기업
(주)씨티코어,서울특별시 금천구 가산디지털1로 30 19층 1911호 (가산동 에이스하이엔드타워10),중소기업
피엘씨앤테크,경기도 안산시 단원구 능안로 81 6013호 (신길동),중소기업
사단법인 분자설계연구소,서울특별시 서대문구 연세로 50 (신촌동 연세대학교연세공학원),중소기업
주식회사 로이웍스,서울특별시 구로구 디지털로 288 2층 207-R222호 (구로동 대륭포스트타워1차),중소기업
주식회사 엔비누스,서울특별시 금천구 가산디지털1로 58 1310호(가산동 에이스 한솔타워 지식산업센터),중소기업
(주)바인테크,서울특별시 송파구 법원로11길 7 C동 1207~1210호(문정동 현대지식산업센터),중소기업
(주)휴먼텍,경상북도 포항시 남구 지곡로 394 (지곡동 제1벤처동 301호 302호),중소기업
케이에스에프(주),대전광역시 중구 보문로 337 502호 (선화동 선화현대빌딩),중소기업
(주)한국환경생태연구소,대전광역시 유성구 테크노1로 62-12 (관평동),중소기업
(주)휴먼브릿지코리아,서울특별시 송파구 법원로11길 25 B동 413호(문정동에이치비즈니스파크),중소기업
(주)블루웹,서울특별시 성동구 성수일로8길 5 B동 3층 (성수동2가),중소기업
(주)나임네트웍스,서울특별시 강남구 영동대로 616 5층 (삼성동 아남빌딩),중소기업
주식회사 승만,서울특별시 마포구 독막로 101 B1층 10호 (상수동 BR엘리텔),중소기업
주식회사 글로벌지속경영연구원,경기도 수원시 장안구 파장로76번길 19 2층 (파장동),중소기업
(주)루트소프트,서울특별시 중구 퇴계로36길 2 1009호 (필동2가 동국대학교 충무로 본관),중소기업
(주)제스트마케팅앤코,충청북도 청주시 서원구 신성화로 49 603호 (성화동),중소기업
하이볼 주식회사,경상남도 창원시 의창구 창원대학로 20 320호 (사림동 창원대학교 82호관),중소기업
아이엔지피플(주),서울특별시 마포구 독막로 320 10층 1012호(도화동 마포태영데시앙),중소기업
굿프렌드솔루션 주식회사,서울특별시 서초구 남부순환로358길 62 한터빌딩 2층 (양재동),중소기업
(주)과학기술분석센타,대전광역시 유성구 테크노3로 65 한신에스메카 b121호 (관평동),중소기업
주식회사 시큐어컴즈,경기도 안양시 동안구 시민대로 287 1016호(관양동 평촌그라테아2),중소기업
한솔테크닉스(주),서울특별시 중구 을지로 100 (을지로2가),대기업
더블유알디(주),서울특별시 마포구 와우산로37길 32 지하1층 (동교동),중소기업
피앤아이티 주식회사,서울특별시 강서구 양천로 551-17 511호 (가양동 한화비즈메트로1차),중소기업
(주) PDS솔루션,경기도 고양시 일산동구 산두로 269-2 지하 (정발산동),중소기업
(주)모비스,경기도 성남시 분당구 판교로 253 C동 203호 (삼평동 판교 이노밸리),중소기업
주식회사 플로우수학,경기도 군포시 산본동 수리산로 112(산본동),중소기업
참정보시스템(주),서울특별시 금천구 가산디지털1로 70(가산동 호서대벤처타워607호),중소기업
우주 비투비,경기도 부천시 길주로 288 306호 (중동 다운타운),중소기업
아이엠커뮤니케이션,경상북도 안동시 충효로 4304-3 아이엠커뮤니케이션 (정상동),중소기업
인텍시스템,경상남도 창원시 성산구 외리로14번길 24 (성주동),중소기업
(주)피다웍스,서울 서초구 바우뫼로37길 36 1층(양재동 준인빌딩),중소기업
(주)이엠다인,경기도 성남시 분당구 정자일로 177 C동 1207호 (정자동 분당인텔리지2),중소기업
원프레임,충청북도 청주시 상당구 1순환로 1239 4층 10호 (용암동 청주타워),중소기업
한울이앤씨(주),경기도 부천시 석천로 397 104동 7층 716호 (삼정동 부천테크노파크쌍용3차),중소기업
(주)글루버,대전광역시 유성구 가정북로 96 4층 413호 (장동),중소기업
(주)타이탄네트웍스,세종특별자치시 한누리대로 201 우빈가온빌딩 3층 309호 (나성동),중소기업
(주)그루퍼,서울특별시 금천구 벚꽃로 286 507-114호 (가산동 삼성리더스타워 스카이엠비즈센터),중소기업
주식회사 이와이엘,경기도 용인시 기흥구 신구로 52 401호 (구갈동),중소기업
주식회사 비트메이트,경기도 성남시 분당구 정자일로 177 씨동 25층 2509호(정자동 인텔리지ll),중소기업
도경정보통신,경기도 의정부시 승지로4번길 10 거창빌딩 3층 302-3호 (민락동),중소기업
(주)아이티로드(IT Road co.Ltd),서울특별시 금천구 가산디지털2로 98 1동 5층 511호 (가산동 IT캐슬),중소기업
(주)유니텍,경기도 부천시 심중로111번길 9 (중동),중소기업
유한회사 경남라이팅,경상남도 진주시 동부로169번길 12 A동 9층 904호 (충무공동 윙스타워),중소기업
주식회사 하이퍼스,서울특별시 영등포구 국회대로54길 35 601호 (영등포동2가 토산빌딩),중소기업
(주)지앤에스코퍼레이션 GnS Corporation Ltd.,서울특별시 영등포구 당산로35길 1 4층 (당산동4가 대경하이켐),중소기업
엠케피 (MKP),경상북도 경주시 양남면 양남항구길 14-8 1층,중소기업
(주)모그커뮤니케이션즈,서울특별시 강남구 언주로153길 8 지하1 지상123층 (신사동 수연빌딩),중소기업
(주)엠케이피이앤씨,경상북도 경주시 양북면 감은로 155 (푸르뫼사택 슈퍼),중소기업
주식회사 더팀엔터테인먼트,서울특별시 중구 청계천로 40 14층 1408호 (다동 CKL기업지원센터),중소기업
MK커뮤니케이션,경기도 고양시 일산동구 호수로 358-25 614호(백석동 동문굿모닝타워2),중소기업
주식회사 시대의영웅,서울특별시 강서구 마곡중앙로 161-17 802호 (마곡동 보타닉파크타워I),중소기업
주식회사 서원티에스,서울특별시 금천구 가산디지털1로 88 606호 (가산동 아이티프리미어타워),중소기업
비티솔루션,대구광역시 동구 율하서로 56 청림빌딩 4층 (율하동),중소기업
주식회사 디자인210,서울특별시 은평구 통일로 689-4 2층 (녹번동 이레빌딩),중소기업
(주)디에스테크니카,경기도 성남시 중원구 갈마치로 302 14층 제비-1403호 (상대원동),중소기업
주식회사 엠메이드,서울특별시 강동구 아리수로91길 32 402호 (강일동),중소기업
산수정보통신 주식회사,부산광역시 사하구 다대로 231 2층 (장림동),중소기업
(주)에이디테크,경기도 광명시 하안로 60 디동 14층 1411호(소하동 광명테크노파크),중소기업
주식회사 데카스시스템,서울특별시 금천구 가산디지털1로 1 1206 (가산동 더루벤스밸리),중소기업
(주)위닝아이,서울특별시 영등포구 의사당대로 83 4층 115호(여의도동 한국휴렛팩커드빌딩),중소기업
(주) 리더스알앤디,경기도 안양시 동안구 관악대로249번길 11 202호 (비산동),중소기업
주식회사 위드더피플,서울특별시 강서구 강서로47바길 43 304호 (내발산동 천우네오젠),중소기업
(주)에스알정보기술,대전광역시 유성구 유성대로 821번길 4-15,중소기업
주식회사 원정보통신,대전광역시 유성구 테크노4로 17 A410호 (관평동 대덕비즈센터),중소기업
아트마이닝 주식회사,서울특별시 용산구 양녕로 445 노들섬 1층 (이촌동 스페이스445),중소기업
브라더스앤컴퍼니(주),서울특별시 구로구 공원로6가길 44 동일빌딩 2층 (구로동),중소기업
주식회사 엠티지,충청남도 금산군 복수면 자라전길 62,중소기업
(주)한영에코랜드,서울특별시 노원구 공릉로58가길 14 301호 (하계동),중소기업
국제심사자격센터,경기도 의왕시 학의로 504 202호 (포일동),중소기업
주식회사 에이비메카,세종특별자치시 장군면 장기초교길 54 203호,중소기업
(주)씨더블유아이,경기도 성남시 분당구 황새울로200번길 28 1106동 르호봇비즈니스센터 18호 (수내동 오너스타워),중소기업
(주)천지티에스,울산광역시 북구 진장유통로 16 3105호 (진장동 울산진장디플렉스),중소기업
(주)한성기술개발,서울특별시 강북구 삼양로106길 6 2층 (수유동),중소기업
주식회사 성운이엔지,경기도 남양주시 석실로668번길 48-2 (금곡동),중소기업
(주)에이치디코어,서울특별시 금천구 벚꽃로 278 609-111 (가산동),중소기업
(주)성운이엔씨,경기도 용인시 처인구 남사면 경기동로 27 1호,중소기업
맨텍네트웍스 주식회사,서울특별시 송파구 법원로 128 A동 1107호 (문정동 문정에스케이브이원지엘메트로시티),중소기업
주식회사 소프트커널,서울특별시 금천구 가산디지털2로 115 602호(가산동 대륭테크노타운3차),중소기업
(주)민정보통신,대구광역시 북구 유통단지로 25 5동 309호(산격동 전자상가),중소기업
(주)엠트로스,대구광역시 달서구 성서공단로11길 32 1동 505호(호림동 대구기계부품연구원),중소기업
(주)지니안,강원도 춘천시 동면 춘천로 439 2층 3호,중소기업
케이스랩,서울특별시 강남구 선릉로 704 청담동 10층 219호 (청담동 청담벤처프라자),중소기업
주식회사 엠알에듀텍,울산광역시 남구 돋질로20 501호(신정동),중소기업
주식회사 드림솔루텍,인천광역시 남동구 예술로 230 201호 (구월동),중소기업
주식회사 링크씨엔에스,서울특별시 서초구 동광로 43 3층(방배동 일건빌딩),중소기업
비에스(BS)시스템,부산광역시 동구 충장대로 367 2층 222호 비에스시스템(범일동 (주)대빙고),중소기업
(주)제이투드림글로벌,서울특별시 송파구 오금로15길 5-12 3층 3359호 (방이동 정환빌딩) (방이동),중소기업
(주)리앤컴퍼니코리아,서울특별시 강남구 역삼로 215 남국빌딩 2층 (역삼동),중소기업
주식회사 에이티,강원도 춘천시 춘천로 419 3층 302호 (후평동),중소기업
(주)씨에스포유앤이,서울특별시 강서구 화곡로 119 8층 803호 (화곡동 동인빌딩),중소기업
(주)지앤비아이텍,서울특별시 영등포구 의사당대로 38 101-1015 (여의도동더샵아일랜드파크),중소기업
주식회사 드림네트웍스,인천광역시 남동구 예술로 230 202호 203호 204호(구월동 청진네오스빌),중소기업
주식회사 삼성울산비투비,울산광역시 남구 번영로 195 1층 (신정동 동문아뮤티 상가 317호),중소기업
주식회사 제이엔소프트,경기도 안양시 동안구 흥안대로427번길 57-2 603호 (평촌동 평촌아이에스비즈타워),중소기업
순천향대학교 산학협력단,충청남도 아산시 신창면 순천향로 22(순천향대학교내),중소기업
(주)오픈웍스,경기도 남양주시 두물로11번길 42 7층 (별내동 e드림타워),중소기업
드림데이타시스템 주식회사,서울특별시 마포구 마포대로 15 514호 (마포동 현대빌딩),중소기업
(주)우정바이오,경기도 수원시 영통구 광교로 145 b동 3층 (이의동 차세대융합기술연구원),중소기업
이세븐웍스 주식회사,경기도 안양시 동안구 벌말로 126 2810호(관양동 평촌오비즈타워),중소기업
주식회사 로드피아,경기도 용인시 기흥구 흥덕중앙로 120 1506호(영덕동 UTOWER),중소기업
(주)엔에이치아이,전라남도 나주시 동수농공단지길 137-33 (동수동),중소기업
에스케이가스(주),경기도 성남시 분당구 판교로 332 1층(삼평동 ECO HUB),대기업
주식회사 델타아이티,서울특별시 금천구 가산디지털1로 119 A-408-1 (가산동 SK트윈테크타워),중소기업
주식회사 케이알피아,충청남도 계룡시 엄사면 엄사중앙로 111 3층 1호,중소기업
(주)씨피에스일렉트론,서울특별시 중구 을지로44길 10 507 (광희동1가 현대빌딩4층),중소기업
조앤소프트 주식회사,경기도 성남시 분당구 판교로 255번길 9-22 403호(삼평동 판교우림더블유시티),중소기업
대신아이씨티주식회사,전라남도 목포시 평화로20번길 12 2층 (상동),중소기업
(주)하이텍정보,경상남도 김해시 주촌면 내삼못안길 12 1층,중소기업
(주)비즈앤테크컨설팅,서울특별시 강남구 삼성로 528 4층 (삼성동 부방빌딩),중소기업
세이프랩코리아 주식회사,경기도 화성시 동탄대로1길 32 2907동 301호 (장지동 금호어울림레이크2차),중소기업
(주)광성통신,서울특별시 은평구 통일로 633 801호 (녹번동 녹번동오피스텔),중소기업
(주)엘케이랩,대전광역시 유성구 엑스포로 459 202호 (전민동),중소기업
(주)경희매니지먼트컴퍼니,서울특별시 동대문구 회기로 111 (회기동 지하1층),중소기업
(주)만경기술공사,경상북도 포항시 북구 기계면 성계길96번길 63-20,중소기업
주식회사 네스켓,경기도 성남시 분당구 성남대로916번길 11 501호 (야탑동 글라스타워),중소기업
(주)헬로쓰리디,서울특별시 강서구 마곡중앙6로 42 912호(마곡동 사이언스타),중소기업
엘림광통신(주),경기도 수원시 권선구 산업로155번길 50 (고색동),중소기업
(주)에스비에스미디어넷,서울특별시 마포구 상암산로 82 13층 (상암동 에스비에스프리즘타워),대기업
(주)운화정보시스템,서울특별시 광진구 아차산로 375 1203호 (구의동 크레신타워3차),중소기업
주식회사 인코소프트,서울특별시 서대문구 성산로 527 A동 401호 (대신동 하늬솔빌딩),중소기업
주식회사 아이티맥스,서울특별시 동대문구 장한로 64 507호(장안동 금용빌딩),중소기업
주식회사 와이랩스,서울특별시 서초구 방배로 58 2층 202호 (방배동),중소기업
더디엔에이(주),서울특별시 강남구 테헤란로78길 14-6 7층 (대치동 동성빌딩),중소기업
오이코스테크시스템,서울특별시 강남구 논현로76길 14 3동 301-B층(역삼동 대진빌딩),중소기업
주식회사 그리폰다이나믹스,대구광역시 수성구 동대구로 395 4층 (범어동 참저축은행빌딩),중소기업
보용코리아 주식회사,서울특별시 종로구 삼봉로 81 444호 (수송동 두산위브파빌리온),중소기업
돌담소프트,부산광역시 연제구 해맞이로 23 114동 1101호 (거제동 거제유림아시아드),중소기업
주식회사 에스엔디솔루션,충청남도 천안시 서북구 한들1로 93 B동 2층 206호 (백석동),중소기업
주식회사 디센티오,서울특별시 중구 퇴계로 450 9층 2호 (신당동 신영빌딩),중소기업
주식회사 네오맥스,경기도 안양시 동안구 벌말로 123 A동 9층 903호 (관양동 평촌스마트베이),중소기업
(주)델타텍코리아,서울특별시 영등포구 당산로41길 11 w동 1008호 (당산동4가 에스케이브이원센터),중소기업
세진기계,전라북도 전주시 덕진구 원화전1길 57-74 (반월동),중소기업
주식회사 한국피엠그룹,서울특별시 송파구 법원로 128 C동 1313호 (문정동 문정 SK V1 GL 메트로시티),중소기업
주식회사 노타,대전광역시 유성구 대학로 291 엔 28 3104호 (구성동),중소기업
주식회사 도감시스템(Dogam system Inc.),서울특별시 송파구 양재대로62길 8(가락동 금강빌딩 7층 718호),중소기업
유한회사 대일썬파워,전라북도 임실군 신평면 대리3길 34,중소기업
(주)베스트사이트,서울특별시 송파구 백제고분로17길 52 (잠실동 도원빌딩 302호),중소기업
(주) 윌릿,서울특별시 구로구 디지털로30길 31 1306호 (코오롱디지털타워빌란트 2차) (구로동),중소기업
(주)케이엔에스시스템,서울특별시 강서구 마곡중앙로 161-17 1102호(마곡동 보타닉파크타워I),중소기업
아셋케어 주식회사,대전광역시 유성구 테크노중앙로 50 3층 A308호 (관평동 디티비안에스),중소기업
(주)신테카바이오,대전광역시 유성구 테크노2로 187 미건테크노월드 2차 B동 512호 (용산동),중소기업
주식회사 이심기술,서울특별시 영등포구 문래북로 56 (문래동3가),중소기업
주식회사 키퍼정보기술,부산광역시 해운대구 센텀중앙로 90 911호(재송동 큐비이센텀)(재송동),중소기업
주식회사 제이비컴스컴퍼니,서울특별시 마포구 월드컵북로 59 56층 (성산동레이즈빌딩),중소기업
(주)극동자동화,울산광역시 북구 숙보로 27 (효문동),중소기업
주식회사 상명엔지니어링,제주특별자치도 제주시 한림읍 금능농공길 48-11,중소기업
주식회사 시큐모아,대전광역시 유성구 노은로 151 310-1호 (지족동 외2필지 가나파로스빌II 2차),중소기업
주식회사 한울티엔씨,인천광역시 서구 중봉대로586번길 22 B동 152호 (청라동 청라엑슬루타워상가),중소기업
주식회사 콤파,서울특별시 용산구 임정로 11 4층 (효창동),중소기업
(주)티아이에스정보통신,서울특별시 송파구 법원로11길 25 에이동 410호(문정동 에이치비지니스파크),중소기업
주식회사 빅스토어,충청남도 천안시 서북구 직산읍 금곡로 115-30 (마정리),중소기업
(주)넥스트위드,서울특별시 강남구 남부순환로 2645 4층 425호(도곡동 한독빌딩),중소기업
(주)비씨디이엔씨,경기도 양주시 광적면 부흥로 847  431호(경기벤처창업지원센터(양주)),중소기업
(주)하나윈정보기술,서울특별시 광진구 자양로 126 907호 (구의동),중소기업
(주)메디시온,경기도 고양시 덕양구 통일로 140 에이동 226호 (동산동 삼송테크노밸리),중소기업
(주)제이에스비엠디,경기도 광명시 오리로 919-36 2층 (철산동),중소기업
해광전력주식회사,경기도 평택시 화촌1길 52-48 (통복동),중소기업
(주)넥스트랩,서울특별시 서초구 서운로 22 9층 (서초동 제이에스빌딩),중소기업
주식회사 디자인그룹칸,경상북도 영천시 금호읍 거여로 79,중소기업
한국산전주식회사,부산광역시 금정구 개좌로 198-1,중소기업
